year,data,quarter,sex,length,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2015,landings,4,female,37,,,3,15,20,9,5,2,,,,,,,,,,,,,,,,,,
2015,landings,4,female,39,,,1,11,22,9,6,2,,,,,,,,,,,,,,,,,,
2015,landings,4,female,41,,,,7,11,13,11,2,,,,,,,,,,,,,,,,,,
2015,landings,4,female,43,,,,,7,14,14,3,1,,,,,,,,,,,,,,,,,
2015,landings,4,female,45,,,,,5,9,10,4,1,1,1,,1,,,,,,,,,,,,,
2015,landings,4,female,47,,,,,1,3,9,3,5,1,0,,1,,,,,,,,,,,,,
2015,landings,4,female,49,,,,,0,1,7,2,5,,1,1,1,,,,,,,,,,,,,
2015,landings,4,female,51,,,,,0,1,6,1,2,,1,0,0,,2,,,,,,,,,,,
2015,landings,4,female,53,,,,,0,,,1,1,,3,1,0,,1,,,,,,,,,,,
2015,landings,4,female,55,,,,,1,,,,2,,0,,1,,0,,,,,,,,,,,
