Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
France	2	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_70-99_0_0	328832	kWd	9114.32	Landings	R-Reported	Imported
UK (England)	2	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_>=120_0_0_all	205866	kWd	18208.00	Landings	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2023	ple.27.7e	27.7.e	TBB_DEF_70-99_0_0_all	723474	kWd	6881.00	Discards	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2023	ple.27.7e	27.7.e	TBB_CRU_16-31_0_0_all	4470	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_70-99_0_0_all	70571	kWd	11618.00	Discards	A-All - reported, nonre	Imported
France	3	Quarter	2023	ple.27.7e	27.7.e	TBB_DEF_70-99_0_0_all	74360	kWd	550.88	Landings	R-Reported	Imported
France	2	Quarter	2023	ple.27.7e	27.7.e	MIS_MIS_0_0_0	2848939	kWd	605.28	Landings	R-Reported	Imported
France	3	Quarter	2023	ple.27.7e	27.7.e	GTR_DEF_>=220_0_0_all	227753	kWd	288.47	Landings	R-Reported	Imported
France	4	Quarter	2023	ple.27.7e	27.7.e	GTR_DEF_120-219_0_0_all	9992	kWd	92.06	Landings	R-Reported	Imported
UK (England)	2	Quarter	2023	ple.27.7e	27.7.e	GTR_DEF_all_0_0_all	16224	kWd	28.00	Landings	A-All - reported, nonre	Imported
UK (England)	1	Quarter	2023	ple.27.7e	27.7.e	GTR_DEF_all_0_0_all	3089	kWd	1135.00	Landings	A-All - reported, nonre	Imported
UK (England)	1	Quarter	2023	ple.27.7e	27.7.e	TBB_DEF_70-99_0_0_all	989179	kWd	75743.00	Landings	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2023	ple.27.7e	27.7.e	OTB_SPF_32-69_0_0_all	273	kWd	40.00	Landings	A-All - reported, nonre	Imported
