Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
France	3	Quarter	2023	ple.27.7e	27.7.e	GTR_DEF_100-119_0_0_all	28726	kWd	1371.46	Landings	R-Reported	Imported
France	1	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_70-99_0_0	187861	kWd	1320.86	Discards	R-Reported	Imported
France	2	Quarter	2023	ple.27.7e	27.7.e	GTR_DEF_100-119_0_0_all	19898	kWd	0.00	Discards	R-Reported	Imported
France	4	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_100-119_0_0	808223	kWd	0.00	Discards	R-Reported	Imported
UK (England)	4	Quarter	2023	ple.27.7e	27.7.e	TBB_DEF_>=120_0_0_all	537	kWd	7.00	Landings	A-All - reported, nonre	Imported
UK (England)	1	Quarter	2023	ple.27.7e	27.7.e	GNS_DEF_all_0_0_all	154772	kWd	975.00	Landings	A-All - reported, nonre	Imported
UK (England)	1	Quarter	2023	ple.27.7e	27.7.e	LLS_FIF_0_0_0_all	14222	kWd	5.00	Landings	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	TBB_DEF_70-99_0_0_all	905150	kWd	296214.00	Landings	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2023	ple.27.7e	27.7.e	SSC_DEF_All_0_0_All	67500	kWd	453.00	Landings	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2023	ple.27.7e	27.7.e	MIS_MIS_0_0_0_HC	240908	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	GNS_DEF_all_0_0_all	124230	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	1	Quarter	2023	ple.27.7e	27.7.e	MIS_MIS_0_0_0_HC	264056	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_>=120_0_0_all	219358	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2023	ple.27.7e	27.7.e	GNS_DEF_all_0_0_all	124644	kWd	0.00	Discards	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2023	ple.27.7e	27.7.e	LLS_FIF_0_0_0_all	30719	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
France	4	Quarter	2023	ple.27.7e	27.7.e	OTT_DEF_70-99_0_0	6373	kWd	4.18	Landings	R-Reported	Imported
Belgium	2	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_100-119_0_0_all	1677	kWd	90.00	Landings	R-Reported	Imported
UK (England)	3	Quarter	2023	ple.27.7e	27.7.e	LLS_FIF_0_0_0_all	53241	kWd	26.00	Landings	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2023	ple.27.7e	27.7.e	FPO_CRU_0_0_0_all	258592	kWd	16.00	Landings	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_32-69_0_0_all	-9	kWd	2.00	Landings	A-All - reported, nonre	Imported
France	1	Quarter	2023	ple.27.7e	27.7.e	OTB_DEF_100-119_0_0	672895	kWd	583.55	Discards	R-Reported	Imported
France	4	Quarter	2023	ple.27.7e	27.7.e	TBB_DEF_70-99_0_0_all	1025	kWd	13.95	Landings	R-Reported	Imported
