"Country","Season","Season.type","Year","Stock","Area","Fleets","Effort","UnitEffort","Catch..kg","Catch.Cat.","Report.cat.","Discards.Imported.Or.Raised"
"Belgium","4","Quarter",2015,"ple.27.7e","27.7.e","OTB_CRU_70-99_0_0_all",18654,"kWd",8831,"Landings","R-Reported","Imported"
"Belgium","4","Quarter",2015,"ple.27.7e","27.7.e","OTB_CRU_70-99_0_0_all",18654,"kWd",8623.36,"Discards","R-Reported","Raised Discard"
"UK (England)","2","Quarter",2015,"ple.27.7e","27.7.e","OTB_CRU_70-99_0_0_all",-9,NA,7,"Landings","A-All - reported, nonre","Imported"
"UK (England)","2","Quarter",2015,"ple.27.7e","27.7.e","OTB_CRU_70-99_0_0_all",-9,NA,6.84,"Discards","A-All - reported, nonre","Raised Discard"
"UK (England)","4","Quarter",2015,"ple.27.7e","27.7.e","OTB_CRU_70-99_0_0_all",-9,NA,4,"Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter",2015,"ple.27.7e","27.7.e","OTB_CRU_70-99_0_0_all",-9,NA,3.91,"Discards","A-All - reported, nonre","Raised Discard"
"UK (England)","3","Quarter",2015,"ple.27.7e","27.7.e","OTB_CRU_70-99_0_0_all",-9,NA,54,"Landings","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter",2015,"ple.27.7e","27.7.e","OTB_CRU_70-99_0_0_all",-9,NA,52.73,"Discards","A-All - reported, nonre","Raised Discard"
"UK (England)","1","Quarter",2015,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",-9,NA,1847,"Landings","A-All - reported, nonre","Imported"
"UK (England)","1","Quarter",2015,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",-9,NA,0,"Discards","A-All - reported, nonre","Raised Discard"
"UK (England)","2","Quarter",2015,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",-9,NA,4021,"Landings","A-All - reported, nonre","Imported"
"UK (England)","2","Quarter",2015,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",-9,NA,0,"Discards","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter",2015,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",-9,NA,7706,"Landings","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter",2015,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",-9,NA,0,"Discards","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter",2015,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",-9,NA,5206,"Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter",2015,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",-9,NA,0,"Discards","A-All - reported, nonre","Imported"
"France","3","Quarter",2015,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",35814,"kWd",486.6,"Landings","R-Reported","Imported"
"France","3","Quarter",2015,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",35814,"kWd",0,"Discards","R-Reported","Imported"
"France","1","Quarter",2015,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",26382,"kWd",323.24,"Landings","R-Reported","Imported"
"France","1","Quarter",2015,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",26382,"kWd",0,"Discards","R-Reported","Raised Discard"
"France","4","Quarter",2015,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",44248,"kWd",278.91,"Landings","R-Reported","Imported"
"France","4","Quarter",2015,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",44248,"kWd",0,"Discards","R-Reported","Imported"
"France","2","Quarter",2015,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",15538,"kWd",112.67,"Landings","R-Reported","Imported"
"France","2","Quarter",2015,"ple.27.7e","27.7.e","GNS_DEF_all_0_0_all",15538,"kWd",0,"Discards","R-Reported","Raised Discard"
"France","2","Quarter",2015,"ple.27.7e","27.7.e","GTR_DEF_all_0_0_all",312061,"kWd",1277.62,"Landings","R-Reported","Imported"
"France","2","Quarter",2015,"ple.27.7e","27.7.e","GTR_DEF_all_0_0_all",312061,"kWd",0,"Discards","R-Reported","Raised Discard"
"France","3","Quarter",2015,"ple.27.7e","27.7.e","GTR_DEF_all_0_0_all",307195,"kWd",1559.71,"Landings","R-Reported","Imported"
"France","3","Quarter",2015,"ple.27.7e","27.7.e","GTR_DEF_all_0_0_all",307195,"kWd",0,"Discards","R-Reported","Raised Discard"
"France","1","Quarter",2015,"ple.27.7e","27.7.e","GTR_DEF_all_0_0_all",167319,"kWd",374.14,"Landings","R-Reported","Imported"
"France","1","Quarter",2015,"ple.27.7e","27.7.e","GTR_DEF_all_0_0_all",167319,"kWd",0,"Discards","R-Reported","Raised Discard"
"France","4","Quarter",2015,"ple.27.7e","27.7.e","GTR_DEF_all_0_0_all",125179,"kWd",294.91,"Landings","R-Reported","Imported"
"France","4","Quarter",2015,"ple.27.7e","27.7.e","GTR_DEF_all_0_0_all",125179,"kWd",0,"Discards","R-Reported","Raised Discard"
"UK (England)","4","Quarter",2015,"ple.27.7e","27.7.e","GTR_DEF_all_0_0_all",-9,NA,2,"Landings","A-All - reported, nonre","Imported"
"UK (England)","4","Quarter",2015,"ple.27.7e","27.7.e","GTR_DEF_all_0_0_all",-9,NA,0,"Discards","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter",2015,"ple.27.7e","27.7.e","GTR_DEF_all_0_0_all",-9,NA,35,"Landings","A-All - reported, nonre","Imported"
"UK (England)","3","Quarter",2015,"ple.27.7e","27.7.e","GTR_DEF_all_0_0_all",-9,NA,0,"Discards","A-All - reported, nonre","Imported"
"UK (England)","2","Quarter",2015,"ple.27.7e","27.7.e","GTR_DEF_all_0_0_all",-9,NA,83,"Landings","A-All - reported, nonre","Imported"
"UK (England)","2","Quarter",2015,"ple.27.7e","27.7.e","GTR_DEF_all_0_0_all",-9,NA,0,"Discards","A-All - reported, nonre","Raised Discard"
"UK (England)","2","Quarter",2015,"ple.27.7e","27.7.e","LLS_FIF_0_0_0_all",-9,NA,11,"Landings","A-All - reported, nonre","Imported"
"UK (England)","2","Quarter",2015,"ple.27.7e","27.7.e","LLS_FIF_0_0_0_all",-9,NA,15.3,"Discards","A-All - reported, nonre","Raised Discard"
"UK (England)","3","Quarter",2015,"ple.27.7e","27.7.e","LLS_FIF_0_0_0_all",-9,NA,40,"Landings","A-All - reported, nonre","Imported"
